,API Name,Description,Category,Followers,Versions,API Tags,SDKs,How to,Source Code,Libraries,Developers,Changlog,Articles
1,TextkoAPI," The Textko API allows developers to integrate the ability to send and receive free SMS in the Philippines into their own websites and applications. Users can send messages from anywhere at any time, as long as they have an internet connection. Textko works with all major Philippine networks.",Messaging,2,REST, Messaging, 1,0,0,0, 0, 0,
2,BitfinexWebsocketAPI," This Websocket API allows access to all of the features of the Bitfinex platform. Each message sent and received via the Bitfinex’s websocket channel is encoded in JSON format and returns order books, trades, ticker snapshots, updates and more. Bitfinex is a bitcoin exchange that offers platforms for trading and for providing and receiving financing.",Financial,11,Streamingv2.0," Financial, Bitcoin, Currency, Stocks", 3,0,0,0, 0, 5, 1
3,GoogleCloudContainerBuilderAPI," This Rest API provides a way to build container images in the cloud. It allows you to view and manage your data across Google Cloud Platform services. Google Cloud helps developers build with cloud tools and infrastructure, applications, maps and devices.",Cloud,2,RESTv1.0," Cloud, Applications, Data-as-a-Service", 11,0,0,0, 0, 12, 1
4,BlipparComputerVisionAPI," The Blippar Computer Vision API offers image recognition capabilities that can be integrated with third-party applications. After image processing, the API returns a JSON formatted object. OAuth 2 is used for authentication. Blippar is a London based, software development firm that provides augmented reality and image recognition technologies. Contact https://web.blippar.com/contact-us#computer-vision for additional API documentation.",Recognition,6,RESTv1," Recognition, Images", 0,0,2,0, 0, 3, 1
5,Pay.nlAPI," Pay.nl is a Netherlands based payment processing firm that assembles different payment options into one platform. Pay.nl offers several features such as 2-way processing, multiple bank accounts, in-store payments, and SMS solutions for chat and subscriptions. The Pay.nl API provides over 250 functions related to payment processing. Registration is required to access documentation. Web content in Dutch language. Technical support available by email at support@pay.nl",Payments,11,Unspecified," Payments, Credit, Cards", 5,0,5,0, 0, 1, 1
6,CuckooSandboxAPI," The Cuckoo Sandbox API recognizes malware software. Available in REST architecture with JSON formats, Cuckoo allows to analyze malicious files, trace API calls, analyze encrypted network traffic, and perform infected memory analysis. Developers can download the open source sandbox by visiting the official site.",Security,11,REST," Security, File, Sharing, Recognition", 0,0,0,0, 0, 1, 1
7,RevulyticsAPI," The Revulytics API integrates software insights for compliance, sales, marketing, and product management purposes. Available in HTTPS method with JSON format, developers can refer to Trackerbird, the former name of the API for integration projects. Uses of the API include data reporting, live data feeds into customer relationship management systems.",Compliance,7,REST," Compliance, Analytics, Intelligence, Optimization", 3,0,3,0, 0, 8, 1
8,KnoemaAPI," The Knoema REST API integrates metadata, statistics, and visual reports into web services with authentication client, uniqueID for requests, and URL responses. It targets agricultural, educational, demographics, economy, energy, environment, and foreign trade industries. Contact Knoema for authentication, requests, and responses details.",Data-as-a-Service,3,RESTv1.0," Data-as-a-Service, Metadata, Open, Data, Reporting, Statistics, Visualizations", 0,0,0,0, 0, 3, 1
9,ScreepsAPI," The Screeps API provides an MMO video game environment for JavaScript programmers in JSON format. Screeps allows to create colonies to strategize scripting as a gameplay, providing an open world with units, base, territory control, economy, manufacturing, transporting, and logistics. Use the API to assist programmers in developing their scripting skills, by playing an endless video game online.",Games,2,REST," Games, Developers, Hacking, Video", 0,0,0,0, 0, 1, 1
10,GoogleStorageTransferAPI," This Rest API allows you to transfer data from external data sources to a Google Cloud Storage bucket or between Google Cloud Storage buckets. It is available for use in XML or JSON format and returns Google Service Account, Transfer Jobs, Transfer Operations and more. Google Cloud helps developers build with cloud tools and infrastructure, applications, maps and devices.",Cloud,2,RESTv1.0," Cloud, Storage", 9,0,0,0, 0, 10, 1
